,date,inpatient_beds_utilization,inpatient_bed_covid_utilization,percent_of_inpatients_with_covid
201,2021-07-21,0.837837837837838,0.025431903884943,0.03029036975141
202,2021-07-22,0.842920353982301,0.029742765273312,0.035200845665962
203,2021-07-23,0.83977949675469,0.027281701516647,0.032412837189466
204,2021-07-24,0.803335097935416,0.029029385574354,0.036045997346307
205,2021-07-25,0.812387468491178,0.030625227190113,0.037590630228667
206,2021-07-26,0.807768333662779,0.035350509286998,0.043649815043157
207,2021-07-27,0.823867510959571,0.034740675130401,0.042078912862081
208,2021-07-28,0.839061553112285,0.030837774089281,0.036682947105892
209,2021-07-29,0.850375152678416,0.030639197041733,0.03595041322314
210,2021-07-30,0.837403373155306,0.035992907801418,0.042872228088701
211,2021-07-31,0.810839160839161,0.038020465772759,0.046746203904555
212,2021-08-01,0.810323383084577,0.040979196556671,0.050391443378542
213,2021-08-02,0.800752997126722,0.048748748748749,0.060670237946929
214,2021-08-03,0.826627508565835,0.050835723469489,0.061285322522952
215,2021-08-04,0.84471558988764,0.047129695251595,0.055607818542908
216,2021-08-05,0.837527400263042,0.046898504557119,0.055865921787709
217,2021-08-06,0.834107033371288,0.048351454079378,0.057785759560532
218,2021-08-07,0.817055075499694,0.051440147978508,0.062708042521207
219,2021-08-08,0.816254727768493,0.055481580115402,0.067706640667317
220,2021-08-09,0.811381954000393,0.061271102284012,0.075234727472259
221,2021-08-10,0.819073255143242,0.062633521072053,0.076241134751773
222,2021-08-11,0.839116444908253,0.06046511627907,0.071853165084993
223,2021-08-12,0.828972448449142,0.059276097219794,0.07130837189735
224,2021-08-13,0.831895808176643,0.062924281984334,0.075375312760634
225,2021-08-14,0.822426662037841,0.064722368190576,0.078475098226611
226,2021-08-15,0.81412444211079,0.06906296917778,0.0845496810466
227,2021-08-16,0.81294256490952,0.078596979332273,0.096345919610231
228,2021-08-17,0.823723228995058,0.077728830151738,0.094020130254589
229,2021-08-18,0.84658201426335,0.071441109355801,0.084177869700103
230,2021-08-19,0.844582363589346,0.071838580622717,0.084874640361693
231,2021-08-20,0.844485101934135,0.073400140646976,0.08673522384959
232,2021-08-21,0.81850410722006,0.071708976707668,0.087418908858875
233,2021-08-22,0.808146043227418,0.072458731537793,0.089446589446589
