,vaccination_date,agerange,firstdailydose,firstdailydosecumulative,seconddailydosecumulative,singledailydosecumulative,thirddailydosecumulative,combinedalldosescumulative,fullyvaccinatedcumulative,firstboosterdailydosecumulative,secondboosterdailydosecumulative,seconddailydose,fullyvaccinated,firstboosterdailydose,singledailydose,secondboosterdailydose,thirddailydose
211,2014-04-23 11:00:00,18-49,1.0,109,1,0,0,0,1,0,0,,,,,,
212,2014-11-03 10:00:00,65 and Older,1.0,29,1,0,0,0,1,0,0,,,,,,
213,2015-02-10 10:00:00,65 and Older,1.0,30,1,0,0,0,1,0,0,,,,,,
214,2015-02-15 10:00:00,50-64,1.0,61,2,0,0,0,2,0,0,,,,,,
215,2015-03-10 11:00:00,65 and Older,,30,2,0,0,0,2,0,0,1.0,1.0,,,,
216,2015-03-15 11:00:00,18-49,2.0,111,1,0,0,0,1,0,0,,,,,,
217,2015-03-18 11:00:00,50-64,1.0,62,2,0,0,0,2,0,0,,,,,,
218,2015-03-25 11:00:00,50-64,1.0,63,2,0,0,0,2,0,0,,,,,,
219,2015-04-15 11:00:00,18-49,1.0,112,1,0,0,0,1,0,0,,,,,,
220,2015-04-16 11:00:00,12-17,1.0,21,1,0,0,0,1,0,0,,,,,,
221,2015-05-15 11:00:00,12-17,1.0,22,1,0,0,0,1,0,0,,,,,,
222,2015-09-14 11:00:00,65 and Older,1.0,31,2,0,0,0,2,0,0,,,,,,
223,2016-01-01 10:00:00,18-49,1.0,113,1,0,0,0,1,0,0,,,,,,
224,2016-01-24 10:00:00,65 and Older,1.0,32,2,0,0,0,2,0,0,,,,,,
225,2016-02-01 10:00:00,18-49,1.0,114,1,0,0,0,1,0,0,,,,,,
226,2016-02-16 10:00:00,65 and Older,1.0,33,2,0,0,0,2,0,0,,,,,,
227,2016-02-21 10:00:00,65 and Older,,33,3,0,0,0,3,0,0,1.0,1.0,,,,
228,2016-02-25 10:00:00,18-49,1.0,115,1,0,0,0,1,0,0,,,,,,
229,2016-04-15 11:00:00,50-64,1.0,64,2,0,0,0,2,0,0,,,,,,
230,2016-04-17 11:00:00,50-64,1.0,65,2,0,0,0,2,0,0,,,,,,
231,2016-04-25 11:00:00,12-17,1.0,23,1,0,0,0,1,0,0,,,,,,
232,2016-04-29 11:00:00,50-64,1.0,66,2,0,0,0,2,0,0,,,,,,
