,date,tavg,inpatient_beds_utilization,inpatient_bed_covid_utilization,percent_of_inpatients_with_covid,ScaledAvgTemp,ScaledAvgCovid,fullyvaxed,date_year,MD_Population,Percentage MD Population Vaccinated
70,2021-03-12,14.4,0.79983429991715,0.088424571667363,0.11035777615521,0.22325203011338549,0.07835601187519396,785363,2021,6165000,0.12739059205190592
71,2021-03-13,7.6,0.779404425220429,0.086934631199127,0.111326026219643,-0.5492972828076469,0.09263146735720533,797955,2021,6165000,0.1294330900243309
72,2021-03-14,9.3,0.768098980103662,0.085772117736358,0.11142763229977,-0.3561599545773887,0.09412950296477737,806095,2021,6165000,0.13075344687753446
73,2021-03-15,2.3,0.754441447307227,0.098534660905504,0.130391547545059,-1.1514313061137456,0.3737251753981062,818696,2021,6165000,0.13279740470397405
74,2021-03-16,4.0,0.775632736005912,0.101203245965861,0.130220835333653,-0.9582939778834875,0.37120826921479594,833787,2021,6165000,0.13524525547445254
75,2021-03-17,5.7,0.797807855185585,0.087368068353158,0.109340601740224,-0.7651566496532294,0.06335923716588712,852863,2021,6165000,0.13833949716139496
76,2021-03-18,8.0,0.800232384430243,0.090087073007368,0.112411199331383,-0.5038532055769979,0.10863078511195444,867523,2021,6165000,0.14071743714517437
77,2021-03-19,5.1,0.79822761959465,0.092865419632511,0.11612502587456,-0.8333227654992028,0.1633858194078534,884574,2021,6165000,0.14348321167883213
78,2021-03-20,3.7,0.782338823139949,0.092753381198865,0.118355172046447,-0.9923770358064741,0.19626611920292117,896017,2021,6165000,0.14533933495539336
79,2021-03-21,5.6,0.776125602259512,0.09528199111707,0.122468763464024,-0.7765176689608917,0.25691511196822736,904623,2021,6165000,0.1467352798053528
80,2021-03-22,6.6,0.764317590182224,0.112759365317811,0.147271612507664,-0.6629074758842692,0.6225974706436914,917526,2021,6165000,0.14882822384428224
81,2021-03-23,10.0,0.781690790080206,0.11245578104636,0.143621448103674,-0.27663281942375306,0.5687810430850778,937571,2021,6165000,0.15207964314679642
82,2021-03-24,11.7,0.805246226181638,0.098768513895823,0.122510062957994,-0.0834954911934951,0.2575240136448244,961040,2021,6165000,0.15588645579886456
83,2021-03-25,13.4,0.809105232606352,0.090513635603145,0.111626947281543,0.1096418370367631,0.09706811588484424,986310,2021,6165000,0.15998540145985402
84,2021-03-26,20.0,0.818144124720126,0.102810774636105,0.125280326197757,0.8594691113424708,0.2983675632663237,1016389,2021,6165000,0.16486439578264395
85,2021-03-27,13.6,0.805604057537208,0.105099815467203,0.130033208800332,0.1323638756520875,0.3684419856667164,1036869,2021,6165000,0.16818637469586376
86,2021-03-28,14.2,0.796091259855729,0.110584651831796,0.138409403791168,0.2005299914980609,0.4919369412496495,1051429,2021,6165000,0.17054809407948093
87,2021-03-29,8.2,0.799640015157257,0.126662202238592,0.157806912991657,-0.48113116696167346,0.7779253333244187,1079737,2021,6165000,0.17513982157339822
88,2021-03-30,10.3,0.808121541779987,0.123307131357136,0.152120574833509,-0.2425497615007663,0.6940884504631306,1111531,2021,6165000,0.18029699918897
89,2021-03-31,14.2,0.822786912473011,0.108812196347797,0.131864785300985,0.2005299914980609,0.3954459485451295,1153067,2021,6165000,0.18703438767234387
90,2021-04-01,6.3,0.834697493882373,0.112028603047587,0.133957654723127,-0.696990533807256,0.4263022999804858,1201900,2021,6165000,0.19495539334955395
91,2021-04-02,1.9,0.833290913718503,0.114953351022854,0.137687102727086,-1.1968753833443944,0.4812876502620469,1241695,2021,6165000,0.20141038118410381
92,2021-04-03,3.7,0.792299898682877,0.118824531516184,0.1496138996139,-0.9923770358064741,0.6571311273295207,1266069,2021,6165000,0.2053639902676399
93,2021-04-04,10.5,0.788371499106155,0.123507687022245,0.156219445953286,-0.2198277228854419,0.7545204135956539,1277490,2021,6165000,0.20721654501216544
94,2021-04-05,12.1,0.790118764845606,0.140197677766049,0.17689792953142,-0.0380514139628461,1.0593949316552191,1313972,2021,6165000,0.21313414436334144
95,2021-04-06,14.0,0.819290780141844,0.138955209626588,0.168989547038328,0.1778079528827365,0.9427971989393805,1355963,2021,6165000,0.21994533657745335
96,2021-04-07,16.0,0.833417296389589,0.125190581060478,0.149852985906925,0.4050283390359813,0.6606561110685469,1404475,2021,6165000,0.22781427412814273
97,2021-04-08,14.4,0.8421363982084,0.126779776622048,0.150277918140475,0.22325203011338549,0.6669211260742179,1455699,2021,6165000,0.23612311435523115
98,2021-04-09,11.2,0.831524939019262,0.126177344081459,0.151441083613403,-0.1403005877318063,0.6840703290920559,1507763,2021,6165000,0.2445682076236821
99,2021-04-10,13.7,0.80939226519337,0.125907785846985,0.155183180682764,0.1437248949597497,0.7392421716617853,1539593,2021,6165000,0.24973122465531225
100,2021-04-11,17.9,0.795841368323971,0.129493360399222,0.162113511224058,0.6208877058815636,0.8414199341551974,1563513,2021,6165000,0.25361119221411194
101,2021-04-12,11.0,0.81247619047619,0.14840819467154,0.182000471809389,-0.1630226263471307,1.1346245833845814,1608814,2021,6165000,0.2609592862935929
102,2021-04-13,11.2,0.836719122556032,0.146503563860528,0.174626865671642,-0.1403005877318063,1.025911359365399,1647238,2021,6165000,0.2671918896999189
103,2021-04-14,11.0,0.859872611464968,0.129101344984151,0.149741653418124,-0.1630226263471307,0.6590146735453687,1686343,2021,6165000,0.27353495539334954
104,2021-04-15,12.3,0.840469554936238,0.125734730385893,0.149211484027497,-0.015329375347521499,0.6511980879216406,1726382,2021,6165000,0.2800295214922952
105,2021-04-16,8.2,0.828876114304757,0.126207881690614,0.152024291497976,-0.48113116696167346,0.6926688910739291,1765319,2021,6165000,0.28634533657745337
106,2021-04-17,8.6,0.800099042588313,0.123532839423957,0.154037782852398,-0.4356870897310245,0.7223549269951329,1786883,2021,6165000,0.2898431467964315
107,2021-04-18,9.8,0.787542170657451,0.123402489626556,0.15629598486441,-0.29935485803907746,0.7556488698266711,1803474,2021,6165000,0.29253430656934304
108,2021-04-19,9.9,0.79854572573879,0.140329411764706,0.17524682651622,-0.28799383873141526,1.0350517909155337,1838891,2021,6165000,0.29827915652879156
109,2021-04-20,13.0,0.825441300084057,0.141846647175328,0.171317917758287,0.0641977598061141,0.9771256785123281,1882441,2021,6165000,0.3053432278994323
110,2021-04-21,11.2,0.839732888146912,0.124368474233749,0.147714771477148,-0.1403005877318063,0.6291312126724387,1929566,2021,6165000,0.31298718572587186
111,2021-04-22,4.4,0.834179638724715,0.119825342178185,0.143388263665595,-0.9128499006528384,0.5653430737141759,1973153,2021,6165000,0.3200572587185726
112,2021-04-23,7.6,0.824813895781638,0.115134323377273,0.139351711602545,-0.5492972828076469,0.5058299154985498,2014038,2021,6165000,0.3266890510948905
113,2021-04-24,10.6,0.802026241488125,0.115262187971184,0.143333333333333,-0.2084667035777797,0.5645332049193027,2043083,2021,6165000,0.33140032441200323
114,2021-04-25,12.1,0.78426521523998,0.112876393278989,0.143415768336504,-0.0380514139628461,0.5657485905527815,2052279,2021,6165000,0.3328919708029197
115,2021-04-26,10.5,0.791870071348104,0.132821387940842,0.166984505363528,-0.2198277228854419,0.9132357413990227,2084537,2021,6165000,0.3381244120032441
116,2021-04-27,15.8,0.806839186691312,0.125606569615528,0.155069124423963,0.3823063004206569,0.7375605760649787,2119691,2021,6165000,0.343826601784266
117,2021-04-28,20.6,0.826470343565427,0.110682218679198,0.133502024291498,0.9276352271884445,0.41958468416831585,2162034,2021,6165000,0.35069489051094893
118,2021-04-29,21.4,0.817971014492754,0.108178097067914,0.131833452102209,1.018523381649742,0.3949839855660745,2203793,2021,6165000,0.35746845093268453
119,2021-04-30,15.5,0.820093069636031,0.105280804694049,0.128006522625357,0.34822324249767006,0.33856141108208593,2239140,2021,6165000,0.3632019464720195
120,2021-05-01,11.1,0.799866577718479,0.10085800807537,0.125694517244994,-0.1516616070394685,0.30447421491869603,2266474,2021,6165000,0.36763568532035684
121,2021-05-02,17.2,0.785803862553298,0.097916842371595,0.124197689345314,0.5413605707279281,0.2824056390094063,2282917,2021,6165000,0.3703028386050284
122,2021-05-03,18.2,0.787380101561031,0.111765264457316,0.141483351364347,0.6549707638045504,0.5372578798654919,2312530,2021,6165000,0.3751062449310624
123,2021-05-04,20.7,0.810510594604686,0.113111509096051,0.139194988980397,0.9389962464961065,0.5035192657008574,2354089,2021,6165000,0.38184736415247367
124,2021-05-05,17.2,0.823005164084624,0.097294572340783,0.117922606924644,0.5413605707279281,0.18988856823112182,2394318,2021,6165000,0.3883727493917275
125,2021-05-06,11.1,0.818965517241379,0.091555183946488,0.111529843145243,-0.1516616070394685,0.09563645496811447,2436885,2021,6165000,0.3952773722627737
126,2021-05-07,9.2,0.813399503722084,0.091523444018021,0.112271006038277,-0.36752097388505106,0.10656383651248996,2476130,2021,6165000,0.4016431467964315
127,2021-05-08,7.2,0.784410866154735,0.0889481136004,0.113111628892184,-0.5947413600382958,0.11895761222077038,2508026,2021,6165000,0.40681686942416867
128,2021-05-09,9.9,0.77698081734779,0.087918559650008,0.112802245250432,-0.28799383873141526,0.1143961951169363,2521211,2021,6165000,0.40895555555555557
129,2021-05-10,12.7,0.768755268333802,0.098174595668211,0.127299484915379,0.030114701883127298,0.3281371563119047,2552632,2021,6165000,0.4140522303325223
130,2021-05-11,12.4,0.791783642148606,0.091759591759592,0.11554021894336,-0.003968356039859299,0.15476368178186112,2585246,2021,6165000,0.4193424168694242
131,2021-05-12,10.8,0.815552753257671,0.084294436906377,0.103037213641547,-0.1857446649624551,-0.029575160149332546,2625772,2021,6165000,0.42591597729115976
132,2021-05-13,12.5,0.806873428331936,0.078379978016403,0.096885451505017,0.0073926632678028995,-0.12027405059287004,2661675,2021,6165000,0.4317396593673966
133,2021-05-14,13.7,0.81386738471895,0.074017485782192,0.090701060952777,0.1437248949597497,-0.21145400012746934,2693413,2021,6165000,0.4368877534468775
134,2021-05-15,14.7,0.788312014045648,0.070759888673358,0.089502880307233,0.25733508803637206,-0.2291194515363337,2719089,2021,6165000,0.44105255474452554
135,2021-05-16,11.5,0.773806527393238,0.072027084214981,0.092822862129145,-0.10621752980881949,-0.18017109156122188,2738135,2021,6165000,0.4441419302514193
136,2021-05-17,14.2,0.76029260058145,0.078321810777536,0.102681897193941,0.2005299914980609,-0.034813790453784105,2766684,2021,6165000,0.4487727493917275
137,2021-05-18,15.2,0.789122675183167,0.078068677670271,0.098586487781505,0.3141401845746833,-0.09519471568726305,2800028,2021,6165000,0.45418134630981344
138,2021-05-19,17.9,0.808337527260527,0.066170248773058,0.081560283687943,0.6208877058815636,-0.3462216223651523,2835098,2021,6165000,0.4598699107866991
139,2021-05-20,19.4,0.811751812510538,0.064041503657085,0.078642297650131,0.7913029954964973,-0.38924313231393703,2870230,2021,6165000,0.4655685320356853
140,2021-05-21,17.2,0.798605862097926,0.061594509870372,0.076890534108937,0.5413605707279281,-0.4150703678245999,2903184,2021,6165000,0.47091386861313866
141,2021-05-22,20.9,0.787643484132343,0.060206080218002,0.076185344827586,0.9617182851114309,-0.42546737017152225,2924373,2021,6165000,0.4743508515815085
142,2021-05-23,24.1,0.774402558061259,0.055947024365396,0.071974661424203,1.3252709029566228,-0.4875478447119887,2937144,2021,6165000,0.4764223844282238
143,2021-05-24,16.9,0.774313501144165,0.06279495328903,0.080763037284776,0.5072775128049413,-0.3579758746545842,2955974,2021,6165000,0.47947672343876724
144,2021-05-25,16.7,0.787829884184545,0.063668616358232,0.080582524271845,0.48455547418961686,-0.36063727956916003,2976590,2021,6165000,0.48282076236820765
145,2021-05-26,21.6,0.803637901861252,0.054716175842936,0.067859411391065,1.0412454202650667,-0.5482212913797243,2998395,2021,6165000,0.4863576642335766
146,2021-05-27,20.9,0.806143171433407,0.053193306010929,0.06571036810463,0.9617182851114309,-0.5799058457023549,3018222,2021,6165000,0.48957372262773724
147,2021-05-28,17.4,0.799830148619958,0.049190161967606,0.061259338313767,0.5640826093432525,-0.6455298822633849,3039720,2021,6165000,0.4930608272506083
148,2021-05-29,10.0,0.766280935889856,0.045342197221512,0.058908205071421,-0.27663281942375306,-0.6801939625111274,3052341,2021,6165000,0.4951080291970803
149,2021-05-30,9.8,0.756754467688659,0.042816853260405,0.056311116106553,-0.29935485803907746,-0.7184843063620278,3059582,2021,6165000,0.49628256285482564
150,2021-05-31,13.7,0.722096956031567,0.048206490795217,0.066422594142259,0.1437248949597497,-0.5694050964984229,3063447,2021,6165000,0.4969094890510949
151,2021-06-01,16.4,0.736525803682152,0.049436253252385,0.066796875,0.4504724162666301,-0.5638868632251004,3081760,2021,6165000,0.49987996755879965
152,2021-06-02,19.1,0.782730277095161,0.045827633378933,0.058330612689085,0.7572199375735108,-0.6887097319839802,3100140,2021,6165000,0.5028613138686131
153,2021-06-03,20.5,0.795326077786214,0.044096365029369,0.055312333155366,0.9162742078807821,-0.7332099253726613,3123042,2021,6165000,0.5065761557177616
154,2021-06-04,21.7,0.798489733582216,0.044349315068493,0.055383299476104,1.0526064395727288,-0.7321636289771009,3147175,2021,6165000,0.5104906731549067
155,2021-06-05,22.8,0.768596432177718,0.040584139921888,0.052648970150898,1.1775776519570136,-0.7724773846782113,3167941,2021,6165000,0.5138590429845904
156,2021-06-06,24.2,0.772049424797614,0.042476354256234,0.054840142095915,1.3366319222642848,-0.7401717038385827,3175873,2021,6165000,0.5151456609894566
157,2021-06-07,25.9,0.766095238095238,0.046272246272246,0.060177655448517,1.5297692504945428,-0.6614777413503589,3192872,2021,6165000,0.51790300081103
158,2021-06-08,24.2,0.785505607388559,0.042067193299705,0.053355866731048,1.3366319222642848,-0.7620552106644901,3214007,2021,6165000,0.5213312246553122
159,2021-06-09,24.3,0.799790264790702,0.039506172839506,0.049225359850566,1.3479929415719472,-0.8229535976168231,3239692,2021,6165000,0.5254974858069749
160,2021-06-10,22.8,0.80820882994796,0.036745406824147,0.045331105076248,1.1775776519570136,-0.8803687868416656,3260223,2021,6165000,0.5288277372262774
161,2021-06-11,19.2,0.810508474576271,0.034364848692084,0.042289080580686,0.7685809568811729,-0.925219065562807,3279657,2021,6165000,0.5319800486618005
162,2021-06-12,19.4,0.781519715687934,0.03115663679044,0.039777680906713,0.7913029954964973,-0.9622460439853013,3295679,2021,6165000,0.5345789132197891
163,2021-06-13,20.9,0.766368545393183,0.030896246489063,0.040212695247591,0.9617182851114309,-0.9558323827986357,3303938,2021,6165000,0.5359185725871857
164,2021-06-14,22.6,0.772639691714836,0.038625416821045,0.04983865184654,1.1548556133416892,-0.8139114886538584,3316961,2021,6165000,0.5380309813463098
165,2021-06-15,20.6,0.790946035346376,0.038175224279443,0.048117406471791,0.9276352271884445,-0.8392887776656968,3332634,2021,6165000,0.5405732360097324
166,2021-06-16,18.7,0.806924882629108,0.032893624217825,0.040669106116048,0.7117758603428617,-0.9491032605672011,3351976,2021,6165000,0.5437106244931063
167,2021-06-17,17.9,0.809214412285883,0.031406928249213,0.038744225115498,0.6208877058815636,-0.9774828641850043,3365409,2021,6165000,0.5458895377128954
168,2021-06-18,20.5,0.802208067940552,0.03050034270048,0.037940957049984,0.9162742078807821,-0.9893258972304825,3378886,2021,6165000,0.5480755879967559
169,2021-06-19,22.8,0.781807321443809,0.029183884297521,0.037220026350461,1.1775776519570136,-0.9999549841623616,3388858,2021,6165000,0.5496931062449311
170,2021-06-20,25.2,0.790685504971219,0.03132975446625,0.039498502163542,1.4502421153409073,-0.9663621332746887,3394152,2021,6165000,0.5505518248175183
